iter	Passed	Remaining
0	60	60752
1	65	32707
2	69	23101
3	73	18291
4	77	15347
5	81	13578
6	85	12147
7	90	11177
8	94	10372
9	97	9689
10	101	9146
11	105	8661
12	108	8269
13	112	7956
14	116	7678
15	121	7444
16	124	7224
17	128	7036
18	133	6877
19	137	6741
20	140	6530
21	145	6477
22	150	6391
23	154	6285
24	158	6194
25	163	6121
26	167	6043
27	170	5915
28	175	5860
29	179	5799
30	184	5759
31	188	5708
32	193	5670
33	197	5624
34	200	5519
35	204	5469
36	208	5417
37	212	5384
38	216	5346
39	221	5309
40	225	5265
41	229	5239
42	235	5240
43	239	5201
44	243	5178
45	248	5152
46	252	5124
47	257	5114
48	262	5087
49	264	5032
50	268	5004
51	272	4968
52	277	4952
53	281	4931
54	284	4887
55	286	4834
56	290	4811
57	295	4801
58	299	4783
59	304	4765
60	308	4741
61	311	4707
62	315	4687
63	317	4641
64	321	4631
65	326	4615
66	330	4600
67	333	4573
68	339	4575
69	343	4564
70	347	4548
71	352	4538
72	356	4524
73	360	4505
74	364	4497
75	368	4483
76	373	4474
77	377	4464
78	382	4456
79	387	4456
80	391	4447
81	395	4432
82	400	4421
83	404	4413
84	408	4399
85	413	4395
86	417	4382
87	421	4367
88	426	4363
89	430	4356
90	434	4338
91	438	4332
92	441	4308
93	444	4279
94	448	4273
95	452	4260
96	456	4249
97	461	4243
98	465	4240
99	468	4219
100	473	4213
101	477	4205
102	481	4196
103	486	4194
104	490	4180
105	494	4169
106	499	4166
107	503	4160
108	507	4150
109	511	4138
110	516	4133
111	520	4128
112	524	4117
113	528	4108
114	532	4098
115	536	4091
116	541	4087
117	545	4079
118	550	4073
119	554	4068
120	559	4065
121	564	4059
122	568	4051
123	573	4049
124	577	4041
125	581	4036
126	586	4028
127	590	4023
128	595	4018
129	597	3998
130	601	3990
131	605	3981
132	610	3977
133	614	3973
134	618	3965
135	622	3956
136	627	3954
137	630	3937
138	634	3931
139	637	3918
140	642	3913
141	646	3906
142	651	3902
143	655	3895
144	660	3893
145	664	3889
146	669	3885
147	671	3866
148	675	3855
149	680	3854
150	684	3849
151	686	3829
152	699	3872
153	703	3862
154	707	3858
155	711	3848
156	715	3841
157	719	3835
158	724	3831
159	726	3812
160	730	3806
161	733	3796
162	739	3795
163	742	3786
164	747	3781
165	751	3774
166	754	3765
167	759	3761
168	761	3742
169	763	3726
170	767	3719
171	771	3711
172	775	3705
173	779	3699
174	783	3695
175	788	3690
176	792	3683
177	796	3680
178	801	3674
179	804	3666
180	808	3659
181	813	3657
182	818	3655
183	823	3650
184	827	3645
185	831	3640
186	836	3635
187	838	3621
188	842	3616
189	847	3613
190	851	3606
191	855	3601
192	860	3598
193	864	3593
194	869	3590
195	874	3585
196	878	3582
197	881	3569
198	885	3565
199	890	3560
200	894	3556
201	899	3553
202	903	3548
203	908	3543
204	913	3541
205	917	3535
206	921	3530
207	925	3525
208	930	3519
209	934	3514
210	937	3507
211	942	3502
212	946	3498
213	951	3493
214	955	3489
215	960	3484
216	964	3480
217	969	3478
218	973	3473
219	978	3468
220	983	3466
221	987	3460
222	991	3455
223	996	3452
224	1001	3448
225	1006	3446
226	1010	3442
227	1015	3438
228	1019	3433
229	1024	3429
230	1029	3425
231	1033	3421
232	1038	3417
233	1042	3413
234	1047	3408
235	1051	3403
236	1056	3399
237	1060	3396
238	1065	3392
239	1070	3389
240	1074	3385
241	1079	3380
242	1084	3377
243	1088	3373
244	1093	3370
245	1098	3367
246	1103	3364
247	1108	3360
248	1112	3355
249	1116	3349
250	1120	3344
251	1124	3338
252	1129	3334
253	1132	3325
254	1136	3320
255	1141	3316
256	1144	3308
257	1148	3302
258	1150	3293
259	1155	3288
260	1159	3282
261	1163	3278
262	1168	3274
263	1172	3269
264	1176	3263
265	1181	3259
266	1184	3252
267	1188	3245
268	1191	3239
269	1196	3233
270	1200	3228
271	1204	3224
272	1208	3218
273	1212	3213
274	1216	3206
275	1220	3201
276	1223	3192
277	1227	3188
278	1233	3187
279	1237	3183
280	1242	3177
281	1245	3170
282	1251	3169
283	1255	3165
284	1259	3161
285	1264	3158
286	1269	3153
287	1274	3149
288	1278	3145
289	1282	3140
290	1286	3135
291	1291	3130
292	1295	3126
293	1299	3121
294	1304	3117
295	1308	3112
296	1312	3107
297	1317	3103
298	1321	3099
299	1325	3093
300	1330	3089
301	1335	3086
302	1339	3080
303	1343	3076
304	1348	3071
305	1352	3067
306	1357	3063
307	1361	3059
308	1365	3053
309	1369	3047
310	1374	3044
311	1379	3041
312	1383	3037
313	1389	3036
314	1394	3031
315	1398	3027
316	1402	3022
317	1407	3019
318	1412	3014
319	1417	3011
320	1421	3006
321	1425	3002
322	1429	2996
323	1433	2991
324	1439	2990
325	1443	2984
326	1447	2980
327	1452	2975
328	1457	2972
329	1463	2972
330	1468	2967
331	1472	2962
332	1477	2958
333	1480	2953
334	1484	2947
335	1488	2942
336	1493	2938
337	1497	2932
338	1502	2928
339	1506	2924
340	1510	2919
341	1515	2915
342	1520	2911
343	1524	2906
344	1528	2902
345	1533	2898
346	1538	2894
347	1542	2889
348	1546	2884
349	1551	2880
350	1555	2876
351	1560	2871
352	1564	2867
353	1569	2863
354	1573	2859
355	1578	2855
356	1582	2850
357	1586	2845
358	1591	2841
359	1597	2839
360	1601	2834
361	1606	2830
362	1610	2825
363	1615	2821
364	1619	2817
365	1623	2812
366	1629	2809
367	1633	2805
368	1638	2801
369	1642	2796
370	1647	2792
371	1651	2788
372	1656	2784
373	1660	2779
374	1665	2776
375	1670	2771
376	1674	2767
377	1679	2763
378	1684	2759
379	1688	2754
380	1693	2750
381	1697	2746
